hospital,rating,review_text,datetime,cleaned_text,translated_text,lemmatized_text,Sentiment_Label,Sentiment_Score
Aster_Hospital_Mankhool,5.0,"We had an amazing experience at Aster Hospital. The nurses were proactive and professional, and the hospital was very organized. Special thanks to Dr. Anjana Mary Joy and Dr. Renju Prem, both were very skilled, kind, and accommodating. To the nurses and staffs Jeena Mary Roy, Sushma Ghag, Karthik Kottari, and the rest of the nurses (I haven’t took all their names) to the male nurse who’s assisting us with Dr. Anjana at the emergency section, who’s been working alone on his shift but remained calm and organized. To the male colleagues who’s assisting the patients while on a wheelchair, the catering staffs and the housekeepers.

It truly felt like we were staying in a hotel, not a hospital. Our only suggestion is to offer a small meal menu aside from the food they’re serving at the cafeteria for the patient’s companion, as outside food isn’t allowed.

As Filipinos, we felt very welcomed, there was no discrimination, only respect and care from everyone.

Thank you to the entire Aster Hospital team  you made a challenging time easier to go through. Kudos to Dr. Renju Prem and the whole surgical team for their excellence and kindness. Highly recommended!",3 months ago,we had an amazing experience at aster hospital the nurses were proactive and professional and the hospital was very organized special thanks to dr anjana mary joy and dr renju prem both were very skilled kind and accommodating to the nurses and staffs jeena mary roy sushma ghag karthik kottari and the rest of the nurses i haven t took all their names to the male nurse who s assisting us with dr anjana at the emergency section who s been working alone on his shift but remained calm and organized to the male colleagues who s assisting the patients while on a wheelchair the catering staffs and the housekeepers it truly felt like we were staying in a hotel not a hospital our only suggestion is to offer a small meal menu aside from the food they re serving at the cafeteria for the patient s companion as outside food isn t allowed as filipinos we felt very welcomed there was no discrimination only respect and care from everyone thank you to the entire aster hospital team you made a challenging time easier to go through kudos to dr renju prem and the whole surgical team for their excellence and kindness highly recommended,we had an amazing experience at aster hospital the nurses were proactive and professional and the hospital was very organized special thanks to dr anjana mary joy and dr renju prem both were very skilled kind and accommodating to the nurses and staffs jeena mary roy sushma ghag karthik kottari and the rest of the nurses i haven t took all their names to the male nurse who s assisting us with dr anjana at the emergency section who s been working alone on his shift but remained calm and organized to the male colleagues who s assisting the patients while on a wheelchair the catering staffs and the housekeepers it truly felt like we were staying in a hotel not a hospital our only suggestion is to offer a small meal menu aside from the food they re serving at the cafeteria for the patient s companion as outside food isn t allowed as filipinos we felt very welcomed there was no discrimination only respect and care from everyone thank you to the entire aster hospital team you made a challenging time easier to go through kudos to dr renju prem and the whole surgical team for their excellence and kindness highly recommended,we have an amazing experience at aster hospital the nurse be proactive and professional and the hospital be very organized special thank to dr anjana mary joy and dr renju prem both be very skilled kind and accommodate to the nurse and staff jeena mary roy sushma ghag karthik kottari and the rest of the nurse I haven t take all their name to the male nurse who s assist we with dr anjana at the emergency section who s be work alone on his shift but remain calm and organize to the male colleague who s assist the patient while on a wheelchair the catering staff and the housekeeper it truly feel like we be stay in a hotel not a hospital our only suggestion be to offer a small meal menu aside from the food they re serve at the cafeteria for the patient s companion as outside food isn t allow as filipinos we feel very welcome there be no discrimination only respect and care from everyone thank you to the entire aster hospital team you make a challenging time easy to go through kudo to dr renju prem and the whole surgical team for their excellence and kindness highly recommend,POSITIVE,0.9983932375907898
Aster_Hospital_Mankhool,5.0,"I want to extend my deepest appreciation to all the incredible doctors, especially my OBGYN Dr Caroline and the doctor who delivered my baby, and the dedicated nurses in the Pre-Labour & Delivery Room who stood by me during one of the most intense and unforgettable moments of my life.

During my labor contractions, you didn’t just give medical care ❤️ you gave kindness. Your gentle encouragement, comforting words, and reassuring smiles made the pain more bearable. Even when I could see the tiredness in your eyes, you still gave your best, and for that, I am truly grateful. You weren’t just doing your jobs , you were pouring your hearts into helping me welcome my baby into the world.

To the Pediatrics team and the Nursing Care staff: thank you for looking after my little one with such dedication and tenderness. Knowing my baby was in loving, professional hands gave me so much peace of mind. Your patience, gentle handling, and constant care made all the difference in our first days together.

Aster Hospital, you are more than just a place of healing—you are a place filled with compassion, skill, and humanity. From the bottom of my heart, thank you for being part of our journey. With Gratitude and Joy!

Richelle Joy",Edited 2 months ago,i want to extend my deepest appreciation to all the incredible doctors especially my obgyn dr caroline and the doctor who delivered my baby and the dedicated nurses in the pre labour delivery room who stood by me during one of the most intense and unforgettable moments of my life during my labor contractions you didn t just give medical care you gave kindness your gentle encouragement comforting words and reassuring smiles made the pain more bearable even when i could see the tiredness in your eyes you still gave your best and for that i am truly grateful you weren t just doing your jobs you were pouring your hearts into helping me welcome my baby into the world to the pediatrics team and the nursing care staff thank you for looking after my little one with such dedication and tenderness knowing my baby was in loving professional hands gave me so much peace of mind your patience gentle handling and constant care made all the difference in our first days together aster hospital you are more than just a place of healing you are a place filled with compassion skill and humanity from the bottom of my heart thank you for being part of our journey with gratitude and joy richelle joy,i want to extend my deepest appreciation to all the incredible doctors especially my obgyn dr caroline and the doctor who delivered my baby and the dedicated nurses in the pre labour delivery room who stood by me during one of the most intense and unforgettable moments of my life during my labor contractions you didn t just give medical care you gave kindness your gentle encouragement comforting words and reassuring smiles made the pain more bearable even when i could see the tiredness in your eyes you still gave your best and for that i am truly grateful you weren t just doing your jobs you were pouring your hearts into helping me welcome my baby into the world to the pediatrics team and the nursing care staff thank you for looking after my little one with such dedication and tenderness knowing my baby was in loving professional hands gave me so much peace of mind your patience gentle handling and constant care made all the difference in our first days together aster hospital you are more than just a place of healing you are a place filled with compassion skill and humanity from the bottom of my heart thank you for being part of our journey with gratitude and joy richelle joy,I want to extend my deep appreciation to all the incredible doctor especially my obgyn dr caroline and the doctor who deliver my baby and the dedicated nurse in the pre labour delivery room who stand by I during one of the most intense and unforgettable moment of my life during my labor contraction you didn t just give medical care you give kindness your gentle encouragement comfort word and reassure smile make the pain more bearable even when I could see the tiredness in your eye you still give your good and for that I be truly grateful you weren t just do your job you be pour your heart into help I welcome my baby into the world to the pediatric team and the nursing care staff thank you for look after my little one with such dedication and tenderness know my baby be in love professional hand give I so much peace of mind your patience gentle handling and constant care make all the difference in our first day together aster hospital you be more than just a place of healing you be a place fill with compassion skill and humanity from the bottom of my heart thank you for be part of our journey with gratitude and joy richelle joy,POSITIVE,0.9997054934501648
Aster_Hospital_Mankhool,5.0,I came back for a reason. Love the services. Madam Rhea really guided me well too. Thanks to her hospitality.,a week ago,i came back for a reason love the services madam rhea really guided me well too thanks to her hospitality,i came back for a reason love the services madam rhea really guided me well too thanks to her hospitality,I come back for a reason love the service madam rhea really guide I well too thank to her hospitality,POSITIVE,0.9882701635360718
Aster_Hospital_Mankhool,5.0,"I had a great experience at the hospital in Mankhool. From the reception team on the first floor to Dr. Arif and the nurses,  everyone was professional and kind. At the pharmacy, Ms. Jubinsha was very caring and helpful, assisting me quickly throughout my consultation and with my medicines. Really appreciate the excellent service!",5 days ago,i had a great experience at the hospital in mankhool from the reception team on the first floor to dr arif and the nurses everyone was professional and kind at the pharmacy ms jubinsha was very caring and helpful assisting me quickly throughout my consultation and with my medicines really appreciate the excellent service,i had a great experience at the hospital in mankhool from the reception team on the first floor to dr arif and the nurses everyone was professional and kind at the pharmacy ms jubinsha was very caring and helpful assisting me quickly throughout my consultation and with my medicines really appreciate the excellent service,I have a great experience at the hospital in mankhool from the reception team on the first floor to dr arif and the nurse everyone be professional and kind at the pharmacy ms jubinsha be very caring and helpful assist I quickly throughout my consultation and with my medicine really appreciate the excellent service,POSITIVE,0.9997488856315613
Aster_Hospital_Mankhool,5.0,"I would like to express my sincere appreciation for the excellent care and support I received at your hospital. Ms. Jincy Koshy & Neethu was extremely supportive throughout, and Dr. Bharat Rao was always helpful, patient, and professional. Thank you for your outstanding service and dedication to your patients.",4 weeks ago,i would like to express my sincere appreciation for the excellent care and support i received at your hospital ms jincy koshy neethu was extremely supportive throughout and dr bharat rao was always helpful patient and professional thank you for your outstanding service and dedication to your patients,i would like to express my sincere appreciation for the excellent care and support i received at your hospital ms jincy koshy neethu was extremely supportive throughout and dr bharat rao was always helpful patient and professional thank you for your outstanding service and dedication to your patients,I would like to express my sincere appreciation for the excellent care and support I receive at your hospital ms jincy koshy neethu be extremely supportive throughout and dr bharat rao be always helpful patient and professional thank you for your outstanding service and dedication to your patient,POSITIVE,0.999836802482605
Aster_Hospital_Mankhool,5.0,"Dear Sarah,
I am writing to express my deepest gratitude and appreciation for the outstanding service my wife and I received during her recent visit to Aster Hospital in Mankhool. Your team's dedication to providing exceptional care and compassion is truly remarkable, and we feel blessed to have experienced it firsthand.
Sr. Vanisha, Sr. Jossay, and Service Champion Mr. Ridhwan went above and beyond to ensure our comfort and well-being. Their professionalism, kindness, and empathy made us feel like we were at home. From the moment we arrived, your staff's proactive approach and attentiveness were evident, and we were treated with the utmost care and respect.
Even before we arrived at the hospital, your staff had already taken care of the necessary arrangements, making the entire experience smooth and stress-free.
Over the years, we have been consistently impressed with the professionalism and service quality at Aster Hospital, and it's clear that your leadership plays a significant role in fostering a culture of excellence. Your team's commitment to delivering exceptional patient care is truly inspiring, and we are grateful for the trust we have placed in Aster Hospital.
Please convey our heartfelt appreciation to Sr. Vanisha, Sr. Jossay, and Mr. Ridhwan for their exceptional service. We wish you and the entire Aster team continued success and growth, and we look forward to the opportunity to serve our healthcare needs with you again in the future.
Thank you for leading a team that truly makes a difference in the lives of patients. Continue the good work, and may your hospital continue to change lives for the better.",2 weeks ago,dear sarah i am writing to express my deepest gratitude and appreciation for the outstanding service my wife and i received during her recent visit to aster hospital in mankhool your team s dedication to providing exceptional care and compassion is truly remarkable and we feel blessed to have experienced it firsthand sr vanisha sr jossay and service champion mr ridhwan went above and beyond to ensure our comfort and well being their professionalism kindness and empathy made us feel like we were at home from the moment we arrived your staff s proactive approach and attentiveness were evident and we were treated with the utmost care and respect even before we arrived at the hospital your staff had already taken care of the necessary arrangements making the entire experience smooth and stress free over the years we have been consistently impressed with the professionalism and service quality at aster hospital and it s clear that your leadership plays a significant role in fostering a culture of excellence your team s commitment to delivering exceptional patient care is truly inspiring and we are grateful for the trust we have placed in aster hospital please convey our heartfelt appreciation to sr vanisha sr jossay and mr ridhwan for their exceptional service we wish you and the entire aster team continued success and growth and we look forward to the opportunity to serve our healthcare needs with you again in the future thank you for leading a team that truly makes a difference in the lives of patients continue the good work and may your hospital continue to change lives for the better,dear sarah i am writing to express my deepest gratitude and appreciation for the outstanding service my wife and i received during her recent visit to aster hospital in mankhool your team s dedication to providing exceptional care and compassion is truly remarkable and we feel blessed to have experienced it firsthand sr vanisha sr jossay and service champion mr ridhwan went above and beyond to ensure our comfort and well being their professionalism kindness and empathy made us feel like we were at home from the moment we arrived your staff s proactive approach and attentiveness were evident and we were treated with the utmost care and respect even before we arrived at the hospital your staff had already taken care of the necessary arrangements making the entire experience smooth and stress free over the years we have been consistently impressed with the professionalism and service quality at aster hospital and it s clear that your leadership plays a significant role in fostering a culture of excellence your team s commitment to delivering exceptional patient care is truly inspiring and we are grateful for the trust we have placed in aster hospital please convey our heartfelt appreciation to sr vanisha sr jossay and mr ridhwan for their exceptional service we wish you and the entire aster team continued success and growth and we look forward to the opportunity to serve our healthcare needs with you again in the future thank you for leading a team that truly makes a difference in the lives of patients continue the good work and may your hospital continue to change lives for the better,dear sarah I be write to express my deep gratitude and appreciation for the outstanding service my wife and I receive during her recent visit to aster hospital in mankhool your team s dedication to provide exceptional care and compassion be truly remarkable and we feel blessed to have experience it firsthand sr vanisha sr jossay and service champion mr ridhwan go above and beyond to ensure our comfort and well be their professionalism kindness and empathy make we feel like we be at home from the moment we arrive your staff s proactive approach and attentiveness be evident and we be treat with the utmost care and respect even before we arrive at the hospital your staff have already take care of the necessary arrangement make the entire experience smooth and stress free over the year we have be consistently impressed with the professionalism and service quality at aster hospital and it s clear that your leadership play a significant role in foster a culture of excellence your team s commitment to deliver exceptional patient care be truly inspiring and we be grateful for the trust we have place in aster hospital please convey our heartfelt appreciation to sr vanisha sr jossay and mr ridhwan for their exceptional service we wish you and the entire aster team continue success and growth and we look forward to the opportunity to serve our healthcare need with you again in the future thank you for lead a team that truly make a difference in the life of patient continue the good work and may your hospital continue to change life for the well,POSITIVE,0.999776303768158
Aster_Hospital_Mankhool,5.0,"Good service, neat and clean. Well organised processes. Staff are helpful. Would be good to have free parkings around as the basement fills up quick. But many paid parkings available around.
All doctors are professional and reliable here compared to other branches",a month ago,good service neat and clean well organised processes staff are helpful would be good to have free parkings around as the basement fills up quick but many paid parkings available around all doctors are professional and reliable here compared to other branches,good service neat and clean well organised processes staff are helpful would be good to have free parkings around as the basement fills up quick but many paid parkings available around all doctors are professional and reliable here compared to other branches,good service neat and clean well organise process staff be helpful would be good to have free parking around as the basement fill up quick but many pay parking available around all doctor be professional and reliable here compare to other branch,POSITIVE,0.7206029295921326
Aster_Hospital_Mankhool,5.0,"It was a good experience, where the staffs do not make us like a patient. I'm not going to get rid of it alone here and they looked for all kinds of support. Especially the two staff well careful. MUJIBUR AND NEENU! May all be careful as good as good ..thank you.!",Edited a month ago,it was a good experience where the staffs do not make us like a patient i m not going to get rid of it alone here and they looked for all kinds of support especially the two staff well careful mujibur and neenu may all be careful as good as good thank you,it was a good experience where the staffs do not make us like a patient i m not going to get rid of it alone here and they looked for all kinds of support especially the two staff well careful mujibur and neenu may all be careful as good as good thank you,it be a good experience where the staff do not make we like a patient I m not go to get rid of it alone here and they look for all kind of support especially the two staff well careful mujibur and neenu may all be careful as good as good thank you,POSITIVE,0.9933114051818848
Aster_Hospital_Mankhool,5.0,"Highly recommended Staff very kind and caring facilities are clean and high tech
Thank you Aster Hospital Team and management GOD BLESS",2 weeks ago,highly recommended staff very kind and caring facilities are clean and high tech thank you aster hospital team and management god bless,highly recommended staff very kind and caring facilities are clean and high tech thank you aster hospital team and management god bless,highly recommend staff very kind and caring facility be clean and high tech thank you aster hospital team and management god bless,POSITIVE,0.9996610879898071
Aster_Hospital_Mankhool,5.0,"Excellent care and professional staff!
I had a wonderful experience at Aster Hospital Mankhool. The doctors were highly professional and attentive, and the nurses took great care with genuine kindness. Everything was well-organized — from admission to discharge — and the staff made sure I was comfortable at all times. The hospital is clean, efficient, and truly patient-focused. Thank you to the entire Aster team for their dedication and compassion! Highly recommended.",a week ago,excellent care and professional staff i had a wonderful experience at aster hospital mankhool the doctors were highly professional and attentive and the nurses took great care with genuine kindness everything was well organized from admission to discharge and the staff made sure i was comfortable at all times the hospital is clean efficient and truly patient focused thank you to the entire aster team for their dedication and compassion highly recommended,excellent care and professional staff i had a wonderful experience at aster hospital mankhool the doctors were highly professional and attentive and the nurses took great care with genuine kindness everything was well organized from admission to discharge and the staff made sure i was comfortable at all times the hospital is clean efficient and truly patient focused thank you to the entire aster team for their dedication and compassion highly recommended,excellent care and professional staff I have a wonderful experience at aster hospital mankhool the doctor be highly professional and attentive and the nurse take great care with genuine kindness everything be well organize from admission to discharge and the staff make sure I be comfortable at all time the hospital be clean efficient and truly patient focus thank you to the entire aster team for their dedication and compassion highly recommend,POSITIVE,0.9998338222503662
