hospital,rating,review_text,datetime
Aster_Hospital_Mankhool,5.0,"We had an amazing experience at Aster Hospital. The nurses were proactive and professional, and the hospital was very organized. Special thanks to Dr. Anjana Mary Joy and Dr. Renju Prem, both were very skilled, kind, and accommodating. To the nurses and staffs Jeena Mary Roy, Sushma Ghag, Karthik Kottari, and the rest of the nurses (I haven’t took all their names) to the male nurse who’s assisting us with Dr. Anjana at the emergency section, who’s been working alone on his shift but remained calm and organized. To the male colleagues who’s assisting the patients while on a wheelchair, the catering staffs and the housekeepers.

It truly felt like we were staying in a hotel, not a hospital. Our only suggestion is to offer a small meal menu aside from the food they’re serving at the cafeteria for the patient’s companion, as outside food isn’t allowed.

As Filipinos, we felt very welcomed, there was no discrimination, only respect and care from everyone.

Thank you to the entire Aster Hospital team  you made a challenging time easier to go through. Kudos to Dr. Renju Prem and the whole surgical team for their excellence and kindness. Highly recommended!",3 months ago
Aster_Hospital_Mankhool,5.0,"I want to extend my deepest appreciation to all the incredible doctors, especially my OBGYN Dr Caroline and the doctor who delivered my baby, and the dedicated nurses in the Pre-Labour & Delivery Room who stood by me during one of the most intense and unforgettable moments of my life.

During my labor contractions, you didn’t just give medical care ❤️ you gave kindness. Your gentle encouragement, comforting words, and reassuring smiles made the pain more bearable. Even when I could see the tiredness in your eyes, you still gave your best, and for that, I am truly grateful. You weren’t just doing your jobs , you were pouring your hearts into helping me welcome my baby into the world.

To the Pediatrics team and the Nursing Care staff: thank you for looking after my little one with such dedication and tenderness. Knowing my baby was in loving, professional hands gave me so much peace of mind. Your patience, gentle handling, and constant care made all the difference in our first days together.

Aster Hospital, you are more than just a place of healing—you are a place filled with compassion, skill, and humanity. From the bottom of my heart, thank you for being part of our journey. With Gratitude and Joy!

Richelle Joy",Edited 2 months ago
Aster_Hospital_Mankhool,5.0,I came back for a reason. Love the services. Madam Rhea really guided me well too. Thanks to her hospitality.,a week ago
Aster_Hospital_Mankhool,5.0,"I had a great experience at the hospital in Mankhool. From the reception team on the first floor to Dr. Arif and the nurses,  everyone was professional and kind. At the pharmacy, Ms. Jubinsha was very caring and helpful, assisting me quickly throughout my consultation and with my medicines. Really appreciate the excellent service!",4 days ago
Aster_Hospital_Mankhool,5.0,"I would like to express my sincere appreciation for the excellent care and support I received at your hospital. Ms. Jincy Koshy & Neethu was extremely supportive throughout, and Dr. Bharat Rao was always helpful, patient, and professional. Thank you for your outstanding service and dedication to your patients.",4 weeks ago
Aster_Hospital_Mankhool,5.0,"Dear Sarah,
I am writing to express my deepest gratitude and appreciation for the outstanding service my wife and I received during her recent visit to Aster Hospital in Mankhool. Your team's dedication to providing exceptional care and compassion is truly remarkable, and we feel blessed to have experienced it firsthand.
Sr. Vanisha, Sr. Jossay, and Service Champion Mr. Ridhwan went above and beyond to ensure our comfort and well-being. Their professionalism, kindness, and empathy made us feel like we were at home. From the moment we arrived, your staff's proactive approach and attentiveness were evident, and we were treated with the utmost care and respect.
Even before we arrived at the hospital, your staff had already taken care of the necessary arrangements, making the entire experience smooth and stress-free.
Over the years, we have been consistently impressed with the professionalism and service quality at Aster Hospital, and it's clear that your leadership plays a significant role in fostering a culture of excellence. Your team's commitment to delivering exceptional patient care is truly inspiring, and we are grateful for the trust we have placed in Aster Hospital.
Please convey our heartfelt appreciation to Sr. Vanisha, Sr. Jossay, and Mr. Ridhwan for their exceptional service. We wish you and the entire Aster team continued success and growth, and we look forward to the opportunity to serve our healthcare needs with you again in the future.
Thank you for leading a team that truly makes a difference in the lives of patients. Continue the good work, and may your hospital continue to change lives for the better.",2 weeks ago
Aster_Hospital_Mankhool,5.0,"Good service, neat and clean. Well organised processes. Staff are helpful. Would be good to have free parkings around as the basement fills up quick. But many paid parkings available around.
All doctors are professional and reliable here compared to other branches",a month ago
Aster_Hospital_Mankhool,5.0,"It was a good experience, where the staffs do not make us like a patient. I'm not going to get rid of it alone here and they looked for all kinds of support. Especially the two staff well careful. MUJIBUR AND NEENU! May all be careful as good as good ..thank you.!",Edited a month ago
Aster_Hospital_Mankhool,5.0,"Highly recommended Staff very kind and caring facilities are clean and high tech
Thank you Aster Hospital Team and management GOD BLESS",2 weeks ago
Aster_Hospital_Mankhool,5.0,"Excellent care and professional staff!
I had a wonderful experience at Aster Hospital Mankhool. The doctors were highly professional and attentive, and the nurses took great care with genuine kindness. Everything was well-organized — from admission to discharge — and the staff made sure I was comfortable at all times. The hospital is clean, efficient, and truly patient-focused. Thank you to the entire Aster team for their dedication and compassion! Highly recommended.",a week ago
