hospital,rating,review_text,datetime,cleaned_text,translated_text,lemmatized_text,Sentiment_Label,Sentiment_Score,Topic,no_stopwords,Topic_Keywords
Aster_Hospital_Mankhool,5.0,"We had an amazing experience at Aster Hospital. The nurses were proactive and professional, and the hospital was very organized. Special thanks to Dr. Anjana Mary Joy and Dr. Renju Prem, both were very skilled, kind, and accommodating. To the nurses and staffs Jeena Mary Roy, Sushma Ghag, Karthik Kottari, and the rest of the nurses (I haven’t took all their names) to the male nurse who’s assisting us with Dr. Anjana at the emergency section, who’s been working alone on his shift but remained calm and organized. To the male colleagues who’s assisting the patients while on a wheelchair, the catering staffs and the housekeepers.

It truly felt like we were staying in a hotel, not a hospital. Our only suggestion is to offer a small meal menu aside from the food they’re serving at the cafeteria for the patient’s companion, as outside food isn’t allowed.

As Filipinos, we felt very welcomed, there was no discrimination, only respect and care from everyone.

Thank you to the entire Aster Hospital team  you made a challenging time easier to go through. Kudos to Dr. Renju Prem and the whole surgical team for their excellence and kindness. Highly recommended!",3 months ago,we had an amazing experience at aster hospital the nurses were proactive and professional and the hospital was very organized special thanks to dr anjana mary joy and dr renju prem both were very skilled kind and accommodating to the nurses and staffs jeena mary roy sushma ghag karthik kottari and the rest of the nurses i haven t took all their names to the male nurse who s assisting us with dr anjana at the emergency section who s been working alone on his shift but remained calm and organized to the male colleagues who s assisting the patients while on a wheelchair the catering staffs and the housekeepers it truly felt like we were staying in a hotel not a hospital our only suggestion is to offer a small meal menu aside from the food they re serving at the cafeteria for the patient s companion as outside food isn t allowed as filipinos we felt very welcomed there was no discrimination only respect and care from everyone thank you to the entire aster hospital team you made a challenging time easier to go through kudos to dr renju prem and the whole surgical team for their excellence and kindness highly recommended,we had an amazing experience at aster hospital the nurses were proactive and professional and the hospital was very organized special thanks to dr anjana mary joy and dr renju prem both were very skilled kind and accommodating to the nurses and staffs jeena mary roy sushma ghag karthik kottari and the rest of the nurses i haven t took all their names to the male nurse who s assisting us with dr anjana at the emergency section who s been working alone on his shift but remained calm and organized to the male colleagues who s assisting the patients while on a wheelchair the catering staffs and the housekeepers it truly felt like we were staying in a hotel not a hospital our only suggestion is to offer a small meal menu aside from the food they re serving at the cafeteria for the patient s companion as outside food isn t allowed as filipinos we felt very welcomed there was no discrimination only respect and care from everyone thank you to the entire aster hospital team you made a challenging time easier to go through kudos to dr renju prem and the whole surgical team for their excellence and kindness highly recommended,we have an amazing experience at aster hospital the nurse be proactive and professional and the hospital be very organized special thank to dr anjana mary joy and dr renju prem both be very skilled kind and accommodate to the nurse and staff jeena mary roy sushma ghag karthik kottari and the rest of the nurse I haven t take all their name to the male nurse who s assist we with dr anjana at the emergency section who s be work alone on his shift but remain calm and organize to the male colleague who s assist the patient while on a wheelchair the catering staff and the housekeeper it truly feel like we be stay in a hotel not a hospital our only suggestion be to offer a small meal menu aside from the food they re serve at the cafeteria for the patient s companion as outside food isn t allow as filipinos we feel very welcome there be no discrimination only respect and care from everyone thank you to the entire aster hospital team you make a challenging time easy to go through kudo to dr renju prem and the whole surgical team for their excellence and kindness highly recommend,POSITIVE,0.9983932375907898,0,amazing experience aster hospital nurses proactive professional hospital organized special thanks dr anjana mary joy dr renju prem skilled kind accommodating nurses staffs jeena mary roy sushma ghag karthik kottari rest nurses haven t took names male nurse s assisting dr anjana emergency section s working shift remained calm organized male colleagues s assisting patients wheelchair catering staffs housekeepers truly felt like staying hotel hospital suggestion offer small meal menu aside food serving cafeteria patient s companion outside food isn t allowed filipinos felt welcomed discrimination respect care thank entire aster hospital team challenging time easier kudos dr renju prem surgical team excellence kindness highly recommended,"[('care', 0.05505079875044042), ('hospital', 0.05076224447617241), ('dr', 0.05017854564989052), ('team', 0.040196714300278706), ('thank', 0.03904220541026396), ('experience', 0.03209113192862006), ('staff', 0.03063735116829256), ('nurses', 0.03043289101168985), ('truly', 0.02991315532640355), ('aster', 0.029510682193153802)]"
Aster_Hospital_Mankhool,5.0,"I want to extend my deepest appreciation to all the incredible doctors, especially my OBGYN Dr Caroline and the doctor who delivered my baby, and the dedicated nurses in the Pre-Labour & Delivery Room who stood by me during one of the most intense and unforgettable moments of my life.

During my labor contractions, you didn’t just give medical care ❤️ you gave kindness. Your gentle encouragement, comforting words, and reassuring smiles made the pain more bearable. Even when I could see the tiredness in your eyes, you still gave your best, and for that, I am truly grateful. You weren’t just doing your jobs , you were pouring your hearts into helping me welcome my baby into the world.

To the Pediatrics team and the Nursing Care staff: thank you for looking after my little one with such dedication and tenderness. Knowing my baby was in loving, professional hands gave me so much peace of mind. Your patience, gentle handling, and constant care made all the difference in our first days together.

Aster Hospital, you are more than just a place of healing—you are a place filled with compassion, skill, and humanity. From the bottom of my heart, thank you for being part of our journey. With Gratitude and Joy!

Richelle Joy",Edited 2 months ago,i want to extend my deepest appreciation to all the incredible doctors especially my obgyn dr caroline and the doctor who delivered my baby and the dedicated nurses in the pre labour delivery room who stood by me during one of the most intense and unforgettable moments of my life during my labor contractions you didn t just give medical care you gave kindness your gentle encouragement comforting words and reassuring smiles made the pain more bearable even when i could see the tiredness in your eyes you still gave your best and for that i am truly grateful you weren t just doing your jobs you were pouring your hearts into helping me welcome my baby into the world to the pediatrics team and the nursing care staff thank you for looking after my little one with such dedication and tenderness knowing my baby was in loving professional hands gave me so much peace of mind your patience gentle handling and constant care made all the difference in our first days together aster hospital you are more than just a place of healing you are a place filled with compassion skill and humanity from the bottom of my heart thank you for being part of our journey with gratitude and joy richelle joy,i want to extend my deepest appreciation to all the incredible doctors especially my obgyn dr caroline and the doctor who delivered my baby and the dedicated nurses in the pre labour delivery room who stood by me during one of the most intense and unforgettable moments of my life during my labor contractions you didn t just give medical care you gave kindness your gentle encouragement comforting words and reassuring smiles made the pain more bearable even when i could see the tiredness in your eyes you still gave your best and for that i am truly grateful you weren t just doing your jobs you were pouring your hearts into helping me welcome my baby into the world to the pediatrics team and the nursing care staff thank you for looking after my little one with such dedication and tenderness knowing my baby was in loving professional hands gave me so much peace of mind your patience gentle handling and constant care made all the difference in our first days together aster hospital you are more than just a place of healing you are a place filled with compassion skill and humanity from the bottom of my heart thank you for being part of our journey with gratitude and joy richelle joy,I want to extend my deep appreciation to all the incredible doctor especially my obgyn dr caroline and the doctor who deliver my baby and the dedicated nurse in the pre labour delivery room who stand by I during one of the most intense and unforgettable moment of my life during my labor contraction you didn t just give medical care you give kindness your gentle encouragement comfort word and reassure smile make the pain more bearable even when I could see the tiredness in your eye you still give your good and for that I be truly grateful you weren t just do your job you be pour your heart into help I welcome my baby into the world to the pediatric team and the nursing care staff thank you for look after my little one with such dedication and tenderness know my baby be in love professional hand give I so much peace of mind your patience gentle handling and constant care make all the difference in our first day together aster hospital you be more than just a place of healing you be a place fill with compassion skill and humanity from the bottom of my heart thank you for be part of our journey with gratitude and joy richelle joy,POSITIVE,0.9997054934501648,0,want extend deepest appreciation incredible doctors especially obgyn dr caroline doctor delivered baby dedicated nurses pre labour delivery room stood intense unforgettable moments life labor contractions didn t just medical care gave kindness gentle encouragement comforting words reassuring smiles pain bearable tiredness eyes gave best truly grateful weren t just doing jobs pouring hearts helping welcome baby world pediatrics team nursing care staff thank looking little dedication tenderness knowing baby loving professional hands gave peace mind patience gentle handling constant care difference days aster hospital just place healing place filled compassion skill humanity heart thank journey gratitude joy richelle joy,"[('care', 0.05505079875044042), ('hospital', 0.05076224447617241), ('dr', 0.05017854564989052), ('team', 0.040196714300278706), ('thank', 0.03904220541026396), ('experience', 0.03209113192862006), ('staff', 0.03063735116829256), ('nurses', 0.03043289101168985), ('truly', 0.02991315532640355), ('aster', 0.029510682193153802)]"
Aster_Hospital_Mankhool,5.0,I came back for a reason. Love the services. Madam Rhea really guided me well too. Thanks to her hospitality.,2 weeks ago,i came back for a reason love the services madam rhea really guided me well too thanks to her hospitality,i came back for a reason love the services madam rhea really guided me well too thanks to her hospitality,I come back for a reason love the service madam rhea really guide I well too thank to her hospitality,POSITIVE,0.9882701635360718,0,came reason love services madam rhea really guided thanks hospitality,"[('care', 0.05505079875044042), ('hospital', 0.05076224447617241), ('dr', 0.05017854564989052), ('team', 0.040196714300278706), ('thank', 0.03904220541026396), ('experience', 0.03209113192862006), ('staff', 0.03063735116829256), ('nurses', 0.03043289101168985), ('truly', 0.02991315532640355), ('aster', 0.029510682193153802)]"
Aster_Hospital_Mankhool,5.0,"I would like to express my sincere appreciation for the excellent care and support I received at your hospital. Ms. Jincy Koshy & Neethu was extremely supportive throughout, and Dr. Bharat Rao was always helpful, patient, and professional. Thank you for your outstanding service and dedication to your patients.",a month ago,i would like to express my sincere appreciation for the excellent care and support i received at your hospital ms jincy koshy neethu was extremely supportive throughout and dr bharat rao was always helpful patient and professional thank you for your outstanding service and dedication to your patients,i would like to express my sincere appreciation for the excellent care and support i received at your hospital ms jincy koshy neethu was extremely supportive throughout and dr bharat rao was always helpful patient and professional thank you for your outstanding service and dedication to your patients,I would like to express my sincere appreciation for the excellent care and support I receive at your hospital ms jincy koshy neethu be extremely supportive throughout and dr bharat rao be always helpful patient and professional thank you for your outstanding service and dedication to your patient,POSITIVE,0.999836802482605,0,like express appreciation excellent care support received hospital ms jincy koshy neethu extremely supportive dr bharat rao helpful patient professional thank outstanding service dedication patients,"[('care', 0.05505079875044042), ('hospital', 0.05076224447617241), ('dr', 0.05017854564989052), ('team', 0.040196714300278706), ('thank', 0.03904220541026396), ('experience', 0.03209113192862006), ('staff', 0.03063735116829256), ('nurses', 0.03043289101168985), ('truly', 0.02991315532640355), ('aster', 0.029510682193153802)]"
Aster_Hospital_Mankhool,5.0,"Good service, neat and clean. Well organised processes. Staff are helpful. Would be good to have free parkings around as the basement fills up quick. But many paid parkings available around.
All doctors are professional and reliable here compared to other branches",a month ago,good service neat and clean well organised processes staff are helpful would be good to have free parkings around as the basement fills up quick but many paid parkings available around all doctors are professional and reliable here compared to other branches,good service neat and clean well organised processes staff are helpful would be good to have free parkings around as the basement fills up quick but many paid parkings available around all doctors are professional and reliable here compared to other branches,good service neat and clean well organise process staff be helpful would be good to have free parking around as the basement fill up quick but many pay parking available around all doctor be professional and reliable here compare to other branch,POSITIVE,0.7206029295921326,0,good service neat clean organised processes staff helpful good free parkings basement fills quick paid parkings available doctors professional reliable compared branches,"[('care', 0.05505079875044042), ('hospital', 0.05076224447617241), ('dr', 0.05017854564989052), ('team', 0.040196714300278706), ('thank', 0.03904220541026396), ('experience', 0.03209113192862006), ('staff', 0.03063735116829256), ('nurses', 0.03043289101168985), ('truly', 0.02991315532640355), ('aster', 0.029510682193153802)]"
Aster_Hospital_Mankhool,5.0,"It was a good experience, where the staffs do not make us like a patient. I'm not going to get rid of it alone here and they looked for all kinds of support. Especially the two staff well careful. MUJIBUR AND NEENU! May all be careful as good as good ..thank you.!",Edited a month ago,it was a good experience where the staffs do not make us like a patient i m not going to get rid of it alone here and they looked for all kinds of support especially the two staff well careful mujibur and neenu may all be careful as good as good thank you,it was a good experience where the staffs do not make us like a patient i m not going to get rid of it alone here and they looked for all kinds of support especially the two staff well careful mujibur and neenu may all be careful as good as good thank you,it be a good experience where the staff do not make we like a patient I m not go to get rid of it alone here and they look for all kind of support especially the two staff well careful mujibur and neenu may all be careful as good as good thank you,POSITIVE,0.9933114051818848,0,good experience staffs make like patient m going rid looked kinds support especially staff careful mujibur neenu careful good good thank,"[('care', 0.05505079875044042), ('hospital', 0.05076224447617241), ('dr', 0.05017854564989052), ('team', 0.040196714300278706), ('thank', 0.03904220541026396), ('experience', 0.03209113192862006), ('staff', 0.03063735116829256), ('nurses', 0.03043289101168985), ('truly', 0.02991315532640355), ('aster', 0.029510682193153802)]"
Aster_Hospital_Mankhool,5.0,"Excellent care and professional staff!
I had a wonderful experience at Aster Hospital Mankhool. The doctors were highly professional and attentive, and the nurses took great care with genuine kindness. Everything was well-organized — from admission to discharge — and the staff made sure I was comfortable at all times. The hospital is clean, efficient, and truly patient-focused. Thank you to the entire Aster team for their dedication and compassion! Highly recommended.",2 weeks ago,excellent care and professional staff i had a wonderful experience at aster hospital mankhool the doctors were highly professional and attentive and the nurses took great care with genuine kindness everything was well organized from admission to discharge and the staff made sure i was comfortable at all times the hospital is clean efficient and truly patient focused thank you to the entire aster team for their dedication and compassion highly recommended,excellent care and professional staff i had a wonderful experience at aster hospital mankhool the doctors were highly professional and attentive and the nurses took great care with genuine kindness everything was well organized from admission to discharge and the staff made sure i was comfortable at all times the hospital is clean efficient and truly patient focused thank you to the entire aster team for their dedication and compassion highly recommended,excellent care and professional staff I have a wonderful experience at aster hospital mankhool the doctor be highly professional and attentive and the nurse take great care with genuine kindness everything be well organize from admission to discharge and the staff make sure I be comfortable at all time the hospital be clean efficient and truly patient focus thank you to the entire aster team for their dedication and compassion highly recommend,POSITIVE,0.9998338222503662,0,excellent care professional staff wonderful experience aster hospital mankhool doctors highly professional attentive nurses took great care genuine kindness organized admission discharge staff sure comfortable times hospital clean efficient truly patient focused thank entire aster team dedication compassion highly recommended,"[('care', 0.05505079875044042), ('hospital', 0.05076224447617241), ('dr', 0.05017854564989052), ('team', 0.040196714300278706), ('thank', 0.03904220541026396), ('experience', 0.03209113192862006), ('staff', 0.03063735116829256), ('nurses', 0.03043289101168985), ('truly', 0.02991315532640355), ('aster', 0.029510682193153802)]"
Aster_Hospital_Mankhool,5.0,"I would like to express my heartfelt appreciation to Aster Hospital for the excellent care and service I received during my surgery and recovery.

A special thank you to my surgery doctor for the professionalism, expertise, and compassion shown throughout the entire process. You made me feel safe and well taken care of every step of the way. 🙏🏻

To all the nurses and staff, thank you so much for your kindness, patience, and dedication. Your constant care and warm smiles made a huge difference in my healing journey. ❤️

The whole experience at Aster Hospital was smooth, convenient, and comforting — truly a place where patients are treated with respect, care, and genuine concern.

I’m beyond grateful and blessed for the outstanding service I received. Highly recommended! 😇💖",4 weeks ago,i would like to express my heartfelt appreciation to aster hospital for the excellent care and service i received during my surgery and recovery a special thank you to my surgery doctor for the professionalism expertise and compassion shown throughout the entire process you made me feel safe and well taken care of every step of the way to all the nurses and staff thank you so much for your kindness patience and dedication your constant care and warm smiles made a huge difference in my healing journey the whole experience at aster hospital was smooth convenient and comforting truly a place where patients are treated with respect care and genuine concern i m beyond grateful and blessed for the outstanding service i received highly recommended,i would like to express my heartfelt appreciation to aster hospital for the excellent care and service i received during my surgery and recovery a special thank you to my surgery doctor for the professionalism expertise and compassion shown throughout the entire process you made me feel safe and well taken care of every step of the way to all the nurses and staff thank you so much for your kindness patience and dedication your constant care and warm smiles made a huge difference in my healing journey the whole experience at aster hospital was smooth convenient and comforting truly a place where patients are treated with respect care and genuine concern i m beyond grateful and blessed for the outstanding service i received highly recommended,I would like to express my heartfelt appreciation to aster hospital for the excellent care and service I receive during my surgery and recovery a special thank you to my surgery doctor for the professionalism expertise and compassion show throughout the entire process you make I feel safe and well take care of every step of the way to all the nurse and staff thank you so much for your kindness patience and dedication your constant care and warm smile make a huge difference in my healing journey the whole experience at aster hospital be smooth convenient and comfort truly a place where patient be treat with respect care and genuine concern I m beyond grateful and bless for the outstanding service I receive highly recommend,POSITIVE,0.9998493194580078,0,like express heartfelt appreciation aster hospital excellent care service received surgery recovery special thank surgery doctor professionalism expertise compassion shown entire process feel safe taken care step way nurses staff thank kindness patience dedication constant care warm smiles huge difference healing journey experience aster hospital smooth convenient comforting truly place patients treated respect care genuine concern m grateful blessed outstanding service received highly recommended,"[('care', 0.05505079875044042), ('hospital', 0.05076224447617241), ('dr', 0.05017854564989052), ('team', 0.040196714300278706), ('thank', 0.03904220541026396), ('experience', 0.03209113192862006), ('staff', 0.03063735116829256), ('nurses', 0.03043289101168985), ('truly', 0.02991315532640355), ('aster', 0.029510682193153802)]"
Aster_Hospital_Mankhool,5.0,"I had such a pleasant experience with Dr Sneha and follow up with Dr Jyoti at Aster Hospital Mankhool.
Thanks to Ms. Vanisha, from the moment I arrived, she was super friendly, kind, and genuinely helpful. She made the whole process smooth and stress-free.",a week ago,i had such a pleasant experience with dr sneha and follow up with dr jyoti at aster hospital mankhool thanks to ms vanisha from the moment i arrived she was super friendly kind and genuinely helpful she made the whole process smooth and stress free,i had such a pleasant experience with dr sneha and follow up with dr jyoti at aster hospital mankhool thanks to ms vanisha from the moment i arrived she was super friendly kind and genuinely helpful she made the whole process smooth and stress free,I have such a pleasant experience with dr sneha and follow up with dr jyoti at aster hospital mankhool thank to ms vanisha from the moment I arrive she be super friendly kind and genuinely helpful she make the whole process smooth and stress free,POSITIVE,0.9996176958084106,0,pleasant experience dr sneha follow dr jyoti aster hospital mankhool thanks ms vanisha moment arrived super friendly kind genuinely helpful process smooth stress free,"[('care', 0.05505079875044042), ('hospital', 0.05076224447617241), ('dr', 0.05017854564989052), ('team', 0.040196714300278706), ('thank', 0.03904220541026396), ('experience', 0.03209113192862006), ('staff', 0.03063735116829256), ('nurses', 0.03043289101168985), ('truly', 0.02991315532640355), ('aster', 0.029510682193153802)]"
Aster_Hospital_Mankhool,1.0,"Date of Visit: 15 July 2025 - Review of Aster Hospital Emergency Services - RATE 1 - 10
Patient ID: 900631438

I would like to share my recent and disappointing experience at Aster Hospital’s Emergency Department in the Mankhool branch.

We arrived at the emergency reception around 5:30 PM, and although it was clearly an emergency (I was in severe abdominal pain), we were only attended to around 5:50 PM—a 20-minute wait despite being in obvious distress. This delay was unacceptable in an emergency setting, especially when patients are supposed to receive immediate attention.

Once I was finally placed on a bed, the doctor examined me, administered a pain reliever, and recommended further tests, including a CT scan of the abdomen and pelvis, an IV drip, and blood tests. Despite these steps, I felt neglected throughout the evening. I vomited severely at 11:45 PM and requested to be admitted to a room to rest more comfortably, but that also took a long time. It wasn’t until around 4:00 AM that the CT scan was done, after which I begged again for a room, and was finally moved to Room 406—only after vomiting again.

I must commend one compassionate nurse in the room who truly showed care, his name, Allwin Jeffry - unlike the staff in the emergency room, who lacked empathy and made me feel like a burden instead of a patient in need.

Later in the morning, I requested to be discharged so I could travel to Jordan for treatment with my longtime doctor. I asked for my medical release at 8:30 AM, but even this simple request took an unreasonable amount of time. Although we settled the AED 200 excess payment quickly, the staff delayed my discharge by claiming the printer wasn’t working and insisted I stay in the room—despite everything being settled and my ID already returned.

One male staff member in pink uniform even acted rudely, which made the situation worse. I told him that I was not a prisoner to be held unnecessarily. My driver had to rush through the stairs with proof of payment to ensure I wouldn’t miss my 2 PM flight to Jordan all because of the inefficient discharge process. please review your camera, and he must be given extra seminar on how to handle customer care! this is must for him!

This experience was not only physically painful but also emotionally exhausting!!! I am deeply disappointed by the lack of urgency, care, and compassion shown in the emergency department. Aster Hospital is a large and reputable name, yet this experience was far from what a patient should expect in an emergency medical facility!

I sincerely hope the hospital takes this feedback seriously and works to improve its emergency protocols, discharge procedures, and staff attitude toward patients in pain. No one should have to suffer in such a way while seeking help in a hospital.

Unfortunately, I will not return to this hospital again. Please, train your staff to treat every patient with respect, care, and urgency especially those in critical conditions.",3 months ago,date of visit 15 july 2025 review of aster hospital emergency services rate 1 10 patient id 900631438 i would like to share my recent and disappointing experience at aster hospital s emergency department in the mankhool branch we arrived at the emergency reception around 5 30 pm and although it was clearly an emergency i was in severe abdominal pain we were only attended to around 5 50 pm a 20 minute wait despite being in obvious distress this delay was unacceptable in an emergency setting especially when patients are supposed to receive immediate attention once i was finally placed on a bed the doctor examined me administered a pain reliever and recommended further tests including a ct scan of the abdomen and pelvis an iv drip and blood tests despite these steps i felt neglected throughout the evening i vomited severely at 11 45 pm and requested to be admitted to a room to rest more comfortably but that also took a long time it wasn t until around 4 00 am that the ct scan was done after which i begged again for a room and was finally moved to room 406 only after vomiting again i must commend one compassionate nurse in the room who truly showed care his name allwin jeffry unlike the staff in the emergency room who lacked empathy and made me feel like a burden instead of a patient in need later in the morning i requested to be discharged so i could travel to jordan for treatment with my longtime doctor i asked for my medical release at 8 30 am but even this simple request took an unreasonable amount of time although we settled the aed 200 excess payment quickly the staff delayed my discharge by claiming the printer wasn t working and insisted i stay in the room despite everything being settled and my id already returned one male staff member in pink uniform even acted rudely which made the situation worse i told him that i was not a prisoner to be held unnecessarily my driver had to rush through the stairs with proof of payment to ensure i wouldn t miss my 2 pm flight to jordan all because of the inefficient discharge process please review your camera and he must be given extra seminar on how to handle customer care this is must for him this experience was not only physically painful but also emotionally exhausting i am deeply disappointed by the lack of urgency care and compassion shown in the emergency department aster hospital is a large and reputable name yet this experience was far from what a patient should expect in an emergency medical facility i sincerely hope the hospital takes this feedback seriously and works to improve its emergency protocols discharge procedures and staff attitude toward patients in pain no one should have to suffer in such a way while seeking help in a hospital unfortunately i will not return to this hospital again please train your staff to treat every patient with respect care and urgency especially those in critical conditions,date of visit 15 july 2025 review of aster hospital emergency services rate 1 10 patient id 900631438 i would like to share my recent and disappointing experience at aster hospital s emergency department in the mankhool branch we arrived at the emergency reception around 5 30 pm and although it was clearly an emergency i was in severe abdominal pain we were only attended to around 5 50 pm a 20 minute wait despite being in obvious distress this delay was unacceptable in an emergency setting especially when patients are supposed to receive immediate attention once i was finally placed on a bed the doctor examined me administered a pain reliever and recommended further tests including a ct scan of the abdomen and pelvis an iv drip and blood tests despite these steps i felt neglected throughout the evening i vomited severely at 11 45 pm and requested to be admitted to a room to rest more comfortably but that also took a long time it wasn t until around 4 00 am that the ct scan was done after which i begged again for a room and was finally moved to room 406 only after vomiting again i must commend one compassionate nurse in the room who truly showed care his name allwin jeffry unlike the staff in the emergency room who lacked empathy and made me feel like a burden instead of a patient in need later in the morning i requested to be discharged so i could travel to jordan for treatment with my longtime doctor i asked for my medical release at 8 30 am but even this simple request took an unreasonable amount of time although we settled the aed 200 excess payment quickly the staff delayed my discharge by claiming the printer wasn t working and insisted i stay in the room despite everything being settled and my id already returned one male staff member in pink uniform even acted rudely which made the situation worse i told him that i was not a prisoner to be held unnecessarily my driver had to rush through the stairs with proof of payment to ensure i wouldn t miss my 2 pm flight to jordan all because of the inefficient discharge process please review your camera and he must be given extra seminar on how to handle customer care this is must for him this experience was not only physically painful but also emotionally exhausting i am deeply disappointed by the lack of urgency care and compassion shown in the emergency department aster hospital is a large and reputable name yet this experience was far from what a patient should expect in an emergency medical facility i sincerely hope the hospital takes this feedback seriously and works to improve its emergency protocols discharge procedures and staff attitude toward patients in pain no one should have to suffer in such a way while seeking help in a hospital unfortunately i will not return to this hospital again please train your staff to treat every patient with respect care and urgency especially those in critical conditions,date of visit 15 july 2025 review of aster hospital emergency service rate 1 10 patient i d 900631438 I would like to share my recent and disappointing experience at aster hospital s emergency department in the mankhool branch we arrive at the emergency reception around 5 30 pm and although it be clearly an emergency I be in severe abdominal pain we be only attend to around 5 50 pm a 20 minute wait despite be in obvious distress this delay be unacceptable in an emergency set especially when patient be suppose to receive immediate attention once I be finally place on a bed the doctor examine I administer a pain reliever and recommend further test include a ct scan of the abdomen and pelvis an iv drip and blood test despite these step I felt neglect throughout the evening I vomit severely at 11 45 pm and request to be admit to a room to rest more comfortably but that also take a long time it wasn t until around 4 00 be that the ct scan be do after which I beg again for a room and be finally move to room 406 only after vomit again I must commend one compassionate nurse in the room who truly show care his name allwin jeffry unlike the staff in the emergency room who lack empathy and make I feel like a burden instead of a patient in need later in the morning I request to be discharge so I could travel to jordan for treatment with my longtime doctor I ask for my medical release at 8 30 am but even this simple request take an unreasonable amount of time although we settle the ae 200 excess payment quickly the staff delay my discharge by claim the printer wasn t work and insist I stay in the room despite everything be settle and my i d already return one male staff member in pink uniform even act rudely which make the situation bad I tell he that I be not a prisoner to be hold unnecessarily my driver have to rush through the stair with proof of payment to ensure I wouldn t miss my 2 pm flight to jordan all because of the inefficient discharge process please review your camera and he must be give extra seminar on how to handle customer care this be must for he this experience be not only physically painful but also emotionally exhausting I be deeply disappointed by the lack of urgency care and compassion show in the emergency department aster hospital be a large and reputable name yet this experience be far from what a patient should expect in an emergency medical facility I sincerely hope the hospital take this feedback seriously and work to improve its emergency protocol discharge procedure and staff attitude toward patient in pain no one should have to suffer in such a way while seek help in a hospital unfortunately I will not return to this hospital again please train your staff to treat every patient with respect care and urgency especially those in critical condition,NEGATIVE,0.9929152727127076,1,date visit 15 july 2025 review aster hospital emergency services rate 1 10 patient id 900631438 like share recent disappointing experience aster hospital s emergency department mankhool branch arrived emergency reception 5 30 pm clearly emergency severe abdominal pain attended 5 50 pm 20 minute wait despite obvious distress delay unacceptable emergency setting especially patients supposed receive immediate attention finally placed bed doctor examined administered pain reliever recommended tests including ct scan abdomen pelvis iv drip blood tests despite steps felt neglected evening vomited severely 11 45 pm requested admitted room rest comfortably took long time wasn t 4 00 ct scan begged room finally moved room 406 vomiting commend compassionate nurse room truly showed care allwin jeffry unlike staff emergency room lacked empathy feel like burden instead patient need later morning requested discharged travel jordan treatment longtime doctor asked medical release 8 30 simple request took unreasonable time settled aed 200 excess payment quickly staff delayed discharge claiming printer wasn t working insisted stay room despite settled id returned male staff member pink uniform acted rudely situation worse told prisoner held unnecessarily driver rush stairs proof payment ensure wouldn t miss 2 pm flight jordan inefficient discharge process review camera given extra seminar handle customer care experience physically painful emotionally exhausting deeply disappointed lack urgency care compassion shown emergency department aster hospital large reputable experience far patient expect emergency medical facility sincerely hope hospital takes feedback seriously works improve emergency protocols discharge procedures staff attitude patients pain suffer way seeking help hospital unfortunately return hospital train staff treat patient respect care urgency especially critical conditions,"[('hospital', 0.05072087345377944), ('emergency', 0.042106441120570895), ('doctor', 0.034489950219849005), ('patient', 0.033445128459491755), ('patients', 0.029735448074605056), ('radiology', 0.028941241660940455), ('pm', 0.02867771216938271), ('waiting', 0.02772796490732864), ('staff', 0.02741508863629023), ('room', 0.027118267947111415)]"
